CustomerId,Surname,Geography,Gender,Age,CreditScore,Balance,Tenure,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditTier,AgeGroup,CLV_Tier,Est_CLV,RiskScore,Churn_Probability,Risk_Category
15634602,Hargrave,France,Female,42,619,0.0,2,1,1,1,101348.88,1,Fair,Mid_Career,Medium,0.0,35,0.5976824884980904,High Risk
15647311,Hill,Spain,Female,41,608,83807.86,1,1,0,1,112542.58,0,Fair,Mid_Career,Medium,8380.786,35,0.37797803078003867,Medium Risk
15619304,Onio,France,Female,42,502,159660.8,8,3,1,0,113931.57,1,Poor,Mid_Career,Premium,383185.92,65,0.9331244740458883,Very High Risk
15701354,Boni,France,Female,39,699,0.0,1,2,0,0,93826.63,0,Good,Early_Career,Medium,0.0,40,0.12648264460198624,Low Risk
15737888,Mitchell,Spain,Female,43,850,125510.82,2,1,1,1,79084.1,0,Excellent,Mid_Career,Medium,25102.164000000004,25,0.46844599531834646,Medium Risk
15574012,Chu,Spain,Male,44,645,113755.78,8,2,1,0,149756.71,1,Fair,Mid_Career,Premium,182009.24800000002,45,0.49661900512027457,Medium Risk
15592531,Bartlett,France,Male,50,822,0.0,7,2,1,1,10062.8,0,Excellent,Pre_Retirement,Medium,0.0,35,0.11663480972842527,Low Risk
15656148,Obinna,Germany,Female,29,383,115046.74,4,4,1,0,119346.88,1,Very_Poor,Young,Premium,184074.784,55,0.9467637784358215,Very High Risk
15792365,He,France,Male,44,501,142051.07,4,2,0,1,74940.5,0,Poor,Mid_Career,Premium,113640.85600000001,25,0.37031717867223535,Medium Risk
15592389,H?,France,Male,27,684,134603.88,2,1,1,1,71725.73,0,Good,Young,Medium,26920.776,0,0.15128178016869195,Low Risk
15767821,Bearce,France,Male,31,528,102016.72,6,2,0,0,80181.12,0,Poor,Early_Career,Premium,122420.064,20,0.14821136696418666,Low Risk
15737173,Andrews,Spain,Male,24,497,0.0,3,2,1,0,76390.01,0,Very_Poor,Young,Medium,0.0,45,0.06784997129073322,Low Risk
15632264,Kay,France,Female,34,476,0.0,10,2,1,0,26260.98,0,Very_Poor,Early_Career,Medium,0.0,45,0.11654322747203832,Low Risk
15691483,Chin,France,Female,25,549,0.0,5,2,0,0,190857.79,0,Poor,Young,Medium,0.0,30,0.05615499646304773,Low Risk
15600882,Scott,Spain,Female,35,635,0.0,7,2,1,1,65951.65,0,Fair,Early_Career,Medium,0.0,10,0.06321017884470324,Low Risk
15643966,Goforth,Germany,Male,45,616,143129.41,3,2,0,1,64327.26,0,Fair,Mid_Career,High,85877.646,25,0.4481790716794494,Medium Risk
15737452,Romeo,Germany,Male,58,653,132602.88,1,1,1,0,5097.67,1,Fair,Pre_Retirement,Medium,13260.288,55,0.9647179979597879,Very High Risk
15788218,Henderson,Spain,Female,24,549,0.0,9,2,1,1,14406.41,0,Poor,Young,Medium,0.0,10,0.0752718631806712,Low Risk
15661507,Muldrow,Spain,Male,45,587,0.0,6,1,0,0,158684.81,0,Poor,Mid_Career,Medium,0.0,55,0.6467331588230181,High Risk
15568982,Hao,France,Female,24,726,0.0,6,2,1,1,54724.03,0,Good,Young,Medium,0.0,10,0.07541248040990657,Low Risk
15577657,McDonald,France,Male,41,732,0.0,8,2,1,1,170886.17,0,Good,Mid_Career,Medium,0.0,35,0.09340537720168339,Low Risk
15597945,Dellucci,Spain,Female,32,636,0.0,8,2,1,0,138555.46,0,Fair,Early_Career,Medium,0.0,30,0.0666037417855849,Low Risk
15699309,Gerasimov,Spain,Female,38,510,0.0,4,1,1,0,118913.53,1,Poor,Early_Career,Medium,0.0,30,0.5557639634659032,High Risk
15725737,Mosman,France,Male,46,669,0.0,3,2,0,1,8487.75,0,Good,Mid_Career,Medium,0.0,35,0.09028062362788056,Low Risk
15625047,Yen,France,Female,38,846,0.0,5,1,1,1,187616.16,0,Excellent,Early_Career,Medium,0.0,10,0.3578154866859082,Medium Risk
15738191,Maclean,France,Male,25,577,0.0,3,2,0,1,124508.29,0,Poor,Young,Medium,0.0,10,0.02744954080646898,Low Risk
15736816,Young,Germany,Male,36,756,136815.64,2,1,1,1,170041.95,0,Good,Early_Career,Medium,27363.128000000004,0,0.36440196968255734,Medium Risk
15700772,Nebechi,France,Male,44,571,0.0,9,2,0,0,38433.35,0,Poor,Mid_Career,Medium,0.0,55,0.24941630748509702,Low Risk
15728693,McWilliams,Germany,Female,43,574,141349.43,3,1,1,1,100187.43,0,Poor,Mid_Career,High,42404.829,25,0.6193347020581393,High Risk
15656300,Lucciano,France,Male,29,411,59697.17,0,2,1,1,53483.21,0,Very_Poor,Young,Medium,11939.434000000001,25,0.16998369872963626,Low Risk
15589475,Azikiwe,Spain,Female,39,591,0.0,3,3,1,0,140469.38,1,Poor,Early_Career,Medium,0.0,50,0.816661048242733,Very High Risk
15706552,Odinakachukwu,France,Male,36,533,85311.7,7,1,0,1,156731.91,0,Poor,Early_Career,High,59718.189999999995,0,0.2195787014909592,Low Risk
15750181,Sanderson,Germany,Male,41,553,110112.54,9,2,0,0,81898.81,0,Poor,Mid_Career,Premium,198202.572,45,0.370874764878758,Medium Risk
15659428,Maggard,Spain,Female,42,520,0.0,6,2,1,1,34410.55,0,Poor,Mid_Career,Medium,0.0,35,0.07954673626227403,Low Risk
15732963,Clements,Spain,Female,29,722,0.0,9,2,1,1,142033.07,0,Good,Young,Medium,0.0,10,0.043506213473812075,Low Risk
15794171,Lombardo,France,Female,45,475,134264.04,0,1,1,0,27822.99,1,Very_Poor,Mid_Career,Medium,13426.404000000002,70,0.8064800279132313,Very High Risk
15788448,Watson,Spain,Male,31,490,145260.23,3,1,0,1,114066.77,0,Very_Poor,Early_Career,High,43578.069,15,0.24963204937488254,Low Risk
15729599,Lorenzo,Spain,Male,33,804,76548.6,7,1,0,1,98453.45,0,Excellent,Early_Career,High,53584.020000000004,0,0.13085492795563153,Low Risk
15585768,Cameron,Germany,Male,41,582,70349.48,6,2,0,1,178074.04,0,Poor,Mid_Career,High,84419.37599999999,25,0.1849302618693582,Low Risk
15619360,Hsiao,Spain,Male,40,472,0.0,4,1,1,0,70154.22,0,Very_Poor,Mid_Career,Medium,0.0,70,0.4480492180851925,Medium Risk
15738148,Clarke,France,Female,51,465,122522.32,8,1,0,0,181297.65,1,Very_Poor,Pre_Retirement,Premium,98017.85600000001,60,0.9202156897455288,Very High Risk
15687946,Osborne,France,Female,61,556,117419.35,2,1,1,1,94153.83,0,Poor,Senior,Medium,23483.870000000003,25,0.5111791247277434,Medium Risk
15755196,Lavine,France,Female,49,834,131394.56,2,1,0,0,194365.76,1,Excellent,Mid_Career,Medium,26278.912,45,0.8399432016103429,Very High Risk
15684171,Bianchi,Spain,Female,61,660,155931.11,5,1,1,1,158338.39,0,Fair,Senior,High,77965.555,25,0.44874669458544014,Medium Risk
15754849,Tyler,Germany,Female,32,776,109421.13,4,2,1,1,126517.46,0,Good,Early_Career,Premium,87536.90400000001,0,0.24099035615788972,Low Risk
15602280,Martin,Germany,Female,27,829,112045.67,9,1,1,1,119708.21,1,Excellent,Young,Premium,100841.103,0,0.4777243918333213,Medium Risk
15771573,Okagbue,Germany,Female,39,637,137843.8,9,1,1,1,117622.8,1,Fair,Early_Career,Premium,124059.42,0,0.4871747961867904,Medium Risk
15766205,Yin,Germany,Male,38,550,103391.38,2,1,0,1,90878.13,0,Poor,Early_Career,Medium,20678.276,0,0.38349947486146846,Medium Risk
15771873,Buccho,Germany,Female,37,776,103769.22,2,2,1,0,194099.12,0,Good,Early_Career,High,41507.688,20,0.3398510494761102,Low Risk
15616550,Chidiebele,Germany,Male,44,698,116363.37,10,2,1,0,198059.16,0,Good,Mid_Career,Premium,232726.74,45,0.26787696160130975,Low Risk
15768193,Trevisani,Germany,Male,36,585,146050.97,5,2,0,0,86424.57,0,Poor,Early_Career,Premium,146050.97,20,0.2871855525629613,Low Risk
15683553,O'Brien,France,Female,33,788,0.0,5,2,0,0,116978.19,0,Excellent,Early_Career,Medium,0.0,30,0.06299905693701277,Low Risk
15702298,Parkhill,Germany,Male,41,655,125561.97,8,1,0,0,164040.94,1,Fair,Mid_Career,Premium,100449.576,45,0.712735467780471,High Risk
15569590,Yoo,Germany,Male,42,601,98495.72,1,1,1,0,40014.76,1,Fair,Mid_Career,Medium,9849.572,55,0.6802002583960488,High Risk
15760861,Phillipps,France,Male,43,619,125211.92,1,1,1,1,113410.49,0,Fair,Mid_Career,Medium,12521.192000000001,35,0.5740908240917217,High Risk
15630053,Tsao,France,Male,45,656,127864.4,5,1,1,0,87107.57,0,Fair,Mid_Career,High,63932.2,45,0.7017306118423015,High Risk
15623944,T'ien,Spain,Female,62,511,0.0,4,1,1,0,1643.11,1,Poor,Senior,Medium,0.0,55,0.8547683154092711,Very High Risk
15651280,Hunter,Germany,Male,35,742,136857.0,5,1,0,0,84509.57,0,Good,Early_Career,High,68428.5,20,0.4874207802910607,Medium Risk
15773469,Clark,Germany,Female,27,687,152328.88,9,2,0,0,126494.82,0,Good,Young,Premium,274191.984,20,0.26090860123521153,Low Risk
15702014,Jeffrey,Spain,Male,33,555,56084.69,1,2,0,0,178798.13,0,Poor,Early_Career,Medium,11216.938000000002,30,0.07541393699081254,Low Risk
15751208,Pirozzi,Spain,Male,56,684,78707.16,8,1,1,1,99398.36,0,Good,Pre_Retirement,High,62965.728,25,0.4438345196119399,Medium Risk
15592461,Jackson,Germany,Male,26,603,109166.37,4,1,1,1,92840.67,0,Fair,Young,High,43666.548,0,0.3178161503595601,Low Risk
15789484,Hammond,Germany,Female,36,751,169831.46,6,2,1,1,27758.36,0,Good,Early_Career,Premium,203797.75199999998,0,0.13520908221125783,Low Risk
15696061,Brownless,Germany,Female,34,581,101633.04,1,1,1,0,110431.51,0,Poor,Early_Career,Medium,10163.304,30,0.40990581250381114,Medium Risk
15641582,Chibugo,Germany,Male,43,735,123180.01,10,2,1,1,196673.28,0,Good,Mid_Career,Premium,246360.02,25,0.30929155459338337,Low Risk
15638424,Glauert,Germany,Female,35,661,150725.53,5,2,0,1,113656.85,0,Good,Early_Career,Premium,150725.53,0,0.15409017289890087,Low Risk
15755648,Pisano,France,Female,21,675,98373.26,8,1,1,0,18203.0,0,Good,Young,High,78698.60800000001,20,0.1837301351183835,Low Risk
15703793,Konovalova,Germany,Male,58,738,133745.44,2,4,1,0,28373.86,1,Good,Pre_Retirement,Premium,106996.35200000001,65,0.9604219157037565,Very High Risk
15620344,McKee,France,Male,29,813,0.0,6,1,1,0,33953.87,0,Excellent,Young,Medium,0.0,30,0.41766722587398825,Medium Risk
15812518,Palermo,Spain,Female,37,657,163607.18,0,1,0,1,44203.55,0,Fair,Early_Career,Medium,16360.718,10,0.25976916674062617,Low Risk
15779052,Ballard,Germany,Female,25,604,157780.84,5,2,1,1,58426.81,0,Fair,Young,Premium,157780.84,0,0.18221605385857007,Low Risk
15770811,Wallace,France,Male,36,519,0.0,9,2,0,1,145562.4,0,Poor,Early_Career,Medium,0.0,10,0.05554534200841799,Low Risk
15780961,Cavenagh,France,Female,21,735,178718.19,1,2,1,0,22388.0,0,Good,Young,High,35743.638,30,0.19492852520671516,Low Risk
15614049,Hu,France,Male,55,664,0.0,8,2,1,1,139161.64,0,Good,Pre_Retirement,Medium,0.0,35,0.14483899483942986,Low Risk
15662085,Read,France,Female,32,678,0.0,9,1,1,1,148210.64,0,Good,Early_Career,Medium,0.0,10,0.2542792784186884,Low Risk
15575185,Bushell,Spain,Male,33,757,77253.22,5,1,0,1,194239.63,0,Good,Early_Career,High,38626.61,0,0.2085646751207131,Low Risk
15803136,Postle,Germany,Female,41,416,122189.66,10,2,1,0,98301.61,0,Very_Poor,Mid_Career,Premium,244379.32,60,0.4355181007010521,Medium Risk
15706021,Buley,France,Female,34,665,96645.54,1,2,0,0,171413.66,0,Good,Early_Career,Medium,19329.108,30,0.14004393045620217,Low Risk
15663706,Leonard,France,Female,32,777,0.0,2,1,1,0,136458.19,1,Good,Early_Career,Medium,0.0,30,0.4493072849488548,Medium Risk
15641732,Mills,France,Female,36,543,0.0,3,2,0,0,26019.59,0,Poor,Early_Career,Medium,0.0,30,0.08826088873459507,Low Risk
15701164,Onyeorulu,France,Female,34,506,90307.62,4,1,1,1,159235.29,0,Poor,Early_Career,High,36123.048,0,0.21897576161831625,Low Risk
15738751,Beit,France,Female,46,493,0.0,4,2,1,0,1907.66,0,Very_Poor,Mid_Career,Medium,0.0,70,0.4379611737764455,Medium Risk
15805254,Ndukaku,Spain,Female,62,652,0.0,10,2,1,1,114675.75,0,Fair,Senior,Medium,0.0,35,0.11030024987304582,Low Risk
15762418,Gant,Spain,Male,22,750,121681.82,3,1,1,0,128643.35,1,Good,Young,High,36504.546,20,0.4261576507366017,Medium Risk
15625759,Rowley,France,Male,30,729,0.0,9,2,1,0,151869.35,0,Good,Early_Career,Medium,0.0,30,0.04604177905217913,Low Risk
15622897,Sharpe,France,Female,46,646,0.0,4,3,1,0,93251.42,1,Fair,Mid_Career,Medium,0.0,75,0.9446985319119117,Very High Risk
15767954,Osborne,Germany,Female,28,635,81623.67,3,2,1,1,156791.36,0,Fair,Young,High,48974.202,0,0.0880411331018376,Low Risk
15757535,Heap,Spain,Female,44,647,0.0,5,3,1,1,174205.22,1,Fair,Mid_Career,Medium,0.0,55,0.9030844662043046,Very High Risk
15731511,Ritchie,France,Male,45,808,118626.55,7,2,1,0,147132.46,0,Excellent,Mid_Career,Premium,166077.16999999998,45,0.47548855139271956,Medium Risk
15809248,Cole,France,Female,36,524,0.0,10,2,1,0,109614.57,0,Poor,Early_Career,Medium,0.0,30,0.08672543062310142,Low Risk
15640635,Capon,France,Male,29,769,0.0,8,2,1,1,172290.61,0,Good,Young,Medium,0.0,10,0.04184572154914334,Low Risk
15676966,Capon,Spain,Male,42,730,0.0,4,2,0,1,85982.47,0,Good,Mid_Career,Medium,0.0,35,0.09572884074394873,Low Risk
15699461,Fiorentini,Spain,Male,35,515,176273.95,10,1,0,1,121277.78,0,Poor,Early_Career,Premium,176273.95,0,0.22666232799602057,Low Risk
15738721,Graham,Spain,Male,41,773,102827.44,9,1,0,1,64595.25,0,Good,Mid_Career,Premium,92544.69600000001,25,0.323627280417985,Low Risk
